HGNC ID	Status	Approved symbol	Approved name
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10
HGNC:31	Approved	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13
HGNC:32972	Approved	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10
HGNC:14114	Approved	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1
HGNC:31129	Approved	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3
HGNC:31130	Approved	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1
HGNC:53628	Approved	ABCF1-DT	ABCF1 divergent transcript
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11
HGNC:18289	Approved	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)
HGNC:40012	Entry Withdrawn	ABHD11-AS2	entry withdrawn
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A
HGNC:28394	Approved	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1
HGNC:34041	Approved	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3
HGNC:34042	Approved	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4
HGNC:34043	Approved	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5
HGNC:34044	Approved	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6
HGNC:38508	Approved	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7
HGNC:38509	Approved	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8
HGNC:38510	Approved	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18
HGNC:11320	Approved	ABI1	abl interactor 1
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1
HGNC:24011	Approved	ABI2	abl interactor 2
HGNC:29859	Approved	ABI3	ABI family member 3
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
HGNC:81	Approved	ABR	active BCR-related
HGNC:30655	Approved	ABRA	actin binding Rho activating protein
HGNC:21230	Approved	ABRACL	ABRA C-terminal like
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit
HGNC:17369	Approved	ABT1	activator of basal transcription 1
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta
HGNC:86	Entry Withdrawn	ACAD	entry withdrawn
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase, long chain
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase, short/branched chain
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase, very long chain
HGNC:319	Approved	ACAN	aggrecan
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
HGNC:25070	Approved	ACD	ACD, shelterin complex subunit and telomerase recruitment factor
HGNC:2707	Approved	ACE	angiotensin I converting enzyme
HGNC:13557	Approved	ACE2	angiotensin I converting enzyme 2
HGNC:44365	Approved	ACE3P	angiotensin I converting enzyme 3, pseudogene
HGNC:18356	Approved	ACER1	alkaline ceramidase 1
HGNC:23675	Approved	ACER2	alkaline ceramidase 2
HGNC:16066	Approved	ACER3	alkaline ceramidase 3
HGNC:108	Approved	ACHE	acetylcholinesterase (Cartwright blood group)
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4
HGNC:114	Approved	ACLS	acrocallosal syndrome
HGNC:115	Approved	ACLY	ATP citrate lyase
HGNC:116	Entry Withdrawn	ACMG	entry withdrawn
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase
HGNC:117	Approved	ACO1	aconitase 1
HGNC:118	Approved	ACO2	aconitase 2
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8
HGNC:17152	Approved	ACOT9	acyl-CoA thioesterase 9
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like
HGNC:41112	Approved	ACOXL-AS1	ACOXL antisense RNA 1
HGNC:122	Approved	ACP1	acid phosphatase 1
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal
HGNC:14376	Approved	ACP4	acid phosphatase 4
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)
HGNC:125	Approved	ACPP	acid phosphatase, prostate
HGNC:126	Approved	ACR	acrosin
HGNC:17195	Approved	ACRBP	acrosin binding protein
HGNC:127	Approved	ACRV1	acrosomal vesicle protein 1
HGNC:29567	Approved	ACSBG1	acyl-CoA synthetase bubblegum family member 1
HGNC:24174	Approved	ACSBG2	acyl-CoA synthetase bubblegum family member 2
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2
HGNC:27288	Approved	ACSF3	acyl-CoA synthetase family member 3
HGNC:3569	Approved	ACSL1	acyl-CoA synthetase long chain family member 1
HGNC:3570	Approved	ACSL3	acyl-CoA synthetase long chain family member 3
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4
HGNC:16526	Approved	ACSL5	acyl-CoA synthetase long chain family member 5
HGNC:16496	Approved	ACSL6	acyl-CoA synthetase long chain family member 6
HGNC:18049	Approved	ACSM1	acyl-CoA synthetase medium chain family member 1
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A
HGNC:30931	Approved	ACSM2B	acyl-CoA synthetase medium chain family member 2B
HGNC:10522	Approved	ACSM3	acyl-CoA synthetase medium chain family member 3
HGNC:32016	Approved	ACSM4	acyl-CoA synthetase medium chain family member 4
HGNC:26060	Approved	ACSM5	acyl-CoA synthetase medium chain family member 5
HGNC:51295	Approved	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1
HGNC:31665	Approved	ACSM6	acyl-CoA synthetase medium chain family member 6
HGNC:16091	Approved	ACSS1	acyl-CoA synthetase short chain family member 1
HGNC:15814	Approved	ACSS2	acyl-CoA synthetase short chain family member 2
HGNC:24723	Approved	ACSS3	acyl-CoA synthetase short chain family member 3
HGNC:129	Approved	ACTA1	actin, alpha 1, skeletal muscle
HGNC:130	Approved	ACTA2	actin, alpha 2, smooth muscle, aorta
HGNC:45169	Approved	ACTA2-AS1	ACTA2 antisense RNA 1
HGNC:132	Approved	ACTB	actin beta
HGNC:17780	Approved	ACTBL2	actin, beta like 2
HGNC:134	Approved	ACTBP1	actin, beta pseudogene 1
HGNC:135	Approved	ACTBP2	actin, beta pseudogene 2
HGNC:136	Approved	ACTBP3	actin, beta pseudogene 3
HGNC:137	Approved	ACTBP4	actin, beta pseudogene 4
HGNC:138	Entry Withdrawn	ACTBP5	entry withdrawn
HGNC:139	Approved	ACTBP6	actin, beta pseudogene 6
HGNC:140	Approved	ACTBP7	actin, beta pseudogene 7
HGNC:141	Approved	ACTBP8	actin, beta pseudogene 8
HGNC:142	Approved	ACTBP9	actin, beta pseudogene 9
HGNC:31819	Approved	ACTBP10	actin, beta pseudogene 10
HGNC:33971	Approved	ACTBP11	actin, beta pseudogene 11
HGNC:150	Approved	ACTBP12	actin, beta pseudogene 12
HGNC:44626	Approved	ACTBP13	actin, beta pseudogene 13
HGNC:45086	Approved	ACTBP14	actin, beta pseudogene 14
HGNC:143	Approved	ACTC1	actin, alpha, cardiac muscle 1
HGNC:144	Approved	ACTG1	actin gamma 1
HGNC:146	Approved	ACTG1P1	actin gamma 1 pseudogene 1
HGNC:147	Approved	ACTG1P2	actin gamma 1 pseudogene 2
HGNC:148	Approved	ACTG1P3	actin gamma 1 pseudogene 3
HGNC:149	Approved	ACTG1P4	actin gamma 1 pseudogene 4
HGNC:151	Approved	ACTG1P6	actin gamma 1 pseudogene 6
HGNC:152	Approved	ACTG1P7	actin gamma 1 pseudogene 7
HGNC:153	Approved	ACTG1P8	actin gamma 1 pseudogene 8
HGNC:154	Approved	ACTG1P9	actin gamma 1 pseudogene 9
HGNC:155	Approved	ACTG1P10	actin gamma 1 pseudogene 10
HGNC:37651	Approved	ACTG1P11	actin gamma 1 pseudogene 11
HGNC:44496	Approved	ACTG1P12	actin gamma 1 pseudogene 12
HGNC:49058	Approved	ACTG1P13	actin gamma 1 pseudogene 13
HGNC:49751	Approved	ACTG1P14	actin gamma 1 pseudogene 14
HGNC:51495	Approved	ACTG1P15	actin gamma 1 pseudogene 15
HGNC:51496	Approved	ACTG1P16	actin gamma 1 pseudogene 16
HGNC:51497	Approved	ACTG1P17	actin gamma 1 pseudogene 17
HGNC:51498	Approved	ACTG1P18	actin gamma 1 pseudogene 18
HGNC:51499	Approved	ACTG1P19	actin gamma 1 pseudogene 19
HGNC:51500	Approved	ACTG1P20	actin gamma 1 pseudogene 20
HGNC:51501	Approved	ACTG1P21	actin gamma 1 pseudogene 21
HGNC:51502	Approved	ACTG1P22	actin gamma 1 pseudogene 22
HGNC:51503	Approved	ACTG1P23	actin gamma 1 pseudogene 23
HGNC:49661	Approved	ACTG1P24	actin gamma 1 pseudogene 24
HGNC:145	Approved	ACTG2	actin, gamma 2, smooth muscle, enteric
HGNC:158	Entry Withdrawn	ACTL4	entry withdrawn
HGNC:159	Entry Withdrawn	ACTL5	entry withdrawn
HGNC:24124	Approved	ACTL6A	actin like 6A
HGNC:160	Approved	ACTL6B	actin like 6B
HGNC:161	Approved	ACTL7A	actin like 7A
HGNC:162	Approved	ACTL7B	actin like 7B
HGNC:24018	Approved	ACTL8	actin like 8
HGNC:28494	Approved	ACTL9	actin like 9
HGNC:16127	Approved	ACTL10	actin like 10
HGNC:163	Approved	ACTN1	actinin alpha 1
HGNC:20131	Approved	ACTN1-AS1	ACTN1 antisense RNA 1
HGNC:164	Approved	ACTN2	actinin alpha 2
HGNC:165	Approved	ACTN3	actinin alpha 3 (gene/pseudogene)
HGNC:166	Approved	ACTN4	actinin alpha 4
HGNC:44028	Approved	ACTN4P1	actinin alpha 4 pseudogene 1
HGNC:44032	Approved	ACTN4P2	actinin alpha 4 pseudogene 2
HGNC:51621	Approved	ACTP1	actin family pseudogene 1
HGNC:167	Approved	ACTR1A	ARP1 actin related protein 1 homolog A
HGNC:168	Approved	ACTR1B	ARP1 actin related protein 1 homolog B
HGNC:169	Approved	ACTR2	ARP2 actin related protein 2 homolog
HGNC:170	Approved	ACTR3	ARP3 actin related protein 3 homolog
HGNC:17256	Approved	ACTR3B	ARP3 actin related protein 3 homolog B
HGNC:37724	Approved	ACTR3BP1	ACTR3B pseudogene 1
HGNC:38677	Approved	ACTR3BP2	ACTR3B pseudogene 2
HGNC:38678	Approved	ACTR3BP3	ACTR3B pseudogene 3
HGNC:38681	Approved	ACTR3BP4	ACTR3B pseudogene 4
HGNC:38682	Approved	ACTR3BP5	ACTR3B pseudogene 5
HGNC:38683	Approved	ACTR3BP6	ACTR3B pseudogene 6
HGNC:37282	Approved	ACTR3C	ARP3 actin related protein 3 homolog C
HGNC:31820	Approved	ACTR3P1	ACTR3 pseudogene 1
HGNC:38676	Approved	ACTR3P2	ACTR3 pseudogene 2
HGNC:38679	Approved	ACTR3P3	ACTR3 pseudogene 3
HGNC:14671	Approved	ACTR5	ARP5 actin related protein 5 homolog
HGNC:24025	Approved	ACTR6	ARP6 actin related protein 6 homolog
HGNC:44210	Approved	ACTR6P1	ACTR6 pseudogene 1
HGNC:14672	Approved	ACTR8	ARP8 actin related protein 8 homolog
HGNC:17372	Approved	ACTR10	actin related protein 10 homolog
HGNC:24027	Approved	ACTRT1	actin related protein T1
HGNC:24026	Approved	ACTRT2	actin related protein T2
HGNC:24022	Approved	ACTRT3	actin related protein T3
HGNC:171	Approved	ACVR1	activin A receptor type 1
HGNC:172	Approved	ACVR1B	activin A receptor type 1B
HGNC:18123	Approved	ACVR1C	activin A receptor type 1C
HGNC:173	Approved	ACVR2A	activin A receptor type 2A
HGNC:174	Approved	ACVR2B	activin A receptor type 2B
HGNC:44161	Approved	ACVR2B-AS1	ACVR2B antisense RNA 1
HGNC:175	Approved	ACVRL1	activin A receptor like type 1
HGNC:177	Approved	ACY1	aminoacylase 1
HGNC:24104	Approved	ACY3	aminoacylase 3
HGNC:179	Approved	ACYP1	acylphosphatase 1
HGNC:180	Approved	ACYP2	acylphosphatase 2
HGNC:185	Approved	AD5	Alzheimer disease 5
HGNC:186	Approved	ADA	adenosine deaminase
HGNC:1839	Approved	ADA2	adenosine deaminase 2
HGNC:30713	Approved	ADAD1	adenosine deaminase domain containing 1
HGNC:44550	Approved	ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1
HGNC:44552	Approved	ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2
HGNC:30714	Approved	ADAD2	adenosine deaminase domain containing 2
HGNC:31853	Approved	ADAL	adenosine deaminase like
HGNC:187	Approved	ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)
HGNC:44366	Approved	ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)
HGNC:198	Approved	ADAM2	ADAM metallopeptidase domain 2
HGNC:209	Approved	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
HGNC:210	Approved	ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)
HGNC:212	Approved	ADAM5	ADAM metallopeptidase domain 5 (pseudogene)
HGNC:213	Approved	ADAM6	ADAM metallopeptidase domain 6 (pseudogene)
HGNC:214	Approved	ADAM7	ADAM metallopeptidase domain 7
HGNC:215	Approved	ADAM8	ADAM metallopeptidase domain 8
HGNC:216	Approved	ADAM9	ADAM metallopeptidase domain 9
HGNC:188	Approved	ADAM10	ADAM metallopeptidase domain 10
HGNC:189	Approved	ADAM11	ADAM metallopeptidase domain 11
HGNC:190	Approved	ADAM12	ADAM metallopeptidase domain 12
HGNC:43841	Entry Withdrawn	ADAM12-OT1	entry withdrawn
HGNC:193	Approved	ADAM15	ADAM metallopeptidase domain 15
HGNC:195	Approved	ADAM17	ADAM metallopeptidase domain 17
HGNC:196	Approved	ADAM18	ADAM metallopeptidase domain 18
HGNC:197	Approved	ADAM19	ADAM metallopeptidase domain 19
HGNC:199	Approved	ADAM20	ADAM metallopeptidase domain 20
HGNC:20102	Approved	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1
HGNC:43901	Approved	ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2
HGNC:43902	Approved	ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3
HGNC:200	Approved	ADAM21	ADAM metallopeptidase domain 21
HGNC:19822	Approved	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1
HGNC:201	Approved	ADAM22	ADAM metallopeptidase domain 22
HGNC:202	Approved	ADAM23	ADAM metallopeptidase domain 23
HGNC:203	Approved	ADAM24P	ADAM metallopeptidase domain 24, pseudogene
HGNC:206	Approved	ADAM28	ADAM metallopeptidase domain 28
HGNC:207	Approved	ADAM29	ADAM metallopeptidase domain 29
HGNC:208	Approved	ADAM30	ADAM metallopeptidase domain 30
HGNC:15479	Approved	ADAM32	ADAM metallopeptidase domain 32
HGNC:15478	Approved	ADAM33	ADAM metallopeptidase domain 33
HGNC:16299	Approved	ADAMDEC1	ADAM like decysin 1
HGNC:217	Approved	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
HGNC:218	Approved	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
HGNC:219	Approved	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
HGNC:220	Approved	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
HGNC:221	Approved	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
HGNC:222	Approved	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
