Hugo Symbol	# of occurence within resources	OncoKB Annotated	OncoKB Oncogene	OncoKB TSG	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC
COL2A1	1	No			No	No	No	No	No	Yes
KLF6	1	No			No	No	No	No	No	Yes
COX6C	1	No			No	No	No	No	No	Yes
CPS1	1	No			No	Yes	No	No	No	No
CREB1	1	No			No	No	No	No	No	Yes
CREBBP	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
CRKL	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
CSF1	1	No			No	Yes	No	No	No	No
CSF1R	6	Yes			Yes	Yes	Yes	Yes	Yes	No
CSF3R	5	Yes			No	Yes	Yes	Yes	No	Yes
CTLA4	2	Yes	Yes		No	No	Yes	No	No	No
CTNNA1	2	No			Yes	Yes	No	No	No	No
CTNNB1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
CUX1	3	No			No	Yes	No	Yes	No	Yes
CYLD	6	Yes			Yes	No	Yes	Yes	Yes	Yes
DAXX	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
DCTN1	1	No			No	No	No	No	No	Yes
DDB2	1	No			No	No	No	No	No	Yes
DDIT3	2	No			No	Yes	No	No	No	Yes
DDX3X	3	No			No	Yes	No	Yes	No	Yes
DDX5	1	No			No	No	No	No	No	Yes
DDX6	2	No			No	Yes	No	No	No	Yes
DDX10	2	No			No	Yes	No	No	No	Yes
DNM2	2	No			No	Yes	No	No	No	Yes
DNMT1	3	Yes			No	No	Yes	No	Yes	No
DNMT3A	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
DNMT3B	2	Yes			No	No	Yes	No	No	No
ARID3A	1	No			No	No	No	Yes	No	No
DTX1	2	No			No	Yes	No	Yes	No	No
DUSP2	1	No			No	Yes	No	No	No	No
DUSP4	2	Yes			No	No	Yes	No	No	No
DUSP9	1	No			No	Yes	No	No	No	No
E2F3	2	Yes	Yes		No	No	Yes	No	No	No
EBF1	2	No			No	Yes	No	No	No	Yes
EGFR	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
EGR1	1	No			No	No	No	Yes	No	No
EIF1AX	2	Yes			No	No	Yes	No	No	No
EIF4A2	4	Yes			No	Yes	Yes	No	No	Yes
EIF4E	2	Yes			No	No	Yes	No	No	No
ELF3	2	Yes			No	No	Yes	No	No	No
ELF4	2	No			No	Yes	No	No	No	Yes
ELK4	1	No			No	No	No	No	No	Yes
ELN	2	No			No	Yes	No	No	No	Yes
EP300	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
EPAS1	3	Yes			No	No	Yes	No	No	Yes
EPHA3	5	Yes			Yes	Yes	Yes	Yes	No	No
EPHA5	5	Yes			Yes	Yes	Yes	Yes	No	No
EPHA7	5	Yes			Yes	Yes	Yes	Yes	No	No
EPHB1	5	Yes			Yes	Yes	Yes	Yes	No	No
EPOR	1	No			No	Yes	No	No	No	No
EPS15	2	No			No	Yes	No	No	No	Yes
ERBB2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
ERBB3	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
ERBB4	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
ERCC2	3	Yes		Yes	No	No	Yes	No	No	Yes
ERCC3	3	Yes		Yes	No	No	Yes	No	No	Yes
ERCC4	3	Yes		Yes	No	No	Yes	No	No	Yes
ERCC5	3	Yes			No	No	Yes	No	No	Yes
ERF	2	Yes		Yes	No	No	Yes	No	No	No
ERG	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
ESR1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
ETS1	1	No			No	Yes	No	No	No	No
ETV1	5	Yes	Yes		Yes	Yes	Yes	No	No	Yes
ETV4	4	Yes			Yes	Yes	No	No	No	Yes
ETV5	3	No			Yes	Yes	No	No	No	Yes
ETV6	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
MECOM	2	No			No	Yes	No	No	No	Yes
EWSR1	3	Yes	Yes		No	Yes	No	No	No	Yes
EXT1	1	No			No	No	No	No	No	Yes
EXT2	1	No			No	No	No	No	No	Yes
EZH1	2	Yes			No	No	Yes	No	No	No
EZH2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
FANCA	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
FANCC	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
FANCD2	4	No			Yes	Yes	No	Yes	No	Yes
FANCE	3	No			Yes	Yes	No	No	No	Yes
ACSL3	1	No			No	No	No	No	No	Yes
FANCF	3	No			Yes	Yes	No	No	No	Yes
FANCG	3	No			Yes	Yes	No	No	No	Yes
FAT1	5	Yes		Yes	Yes	No	Yes	Yes	No	Yes
FCGR2B	2	No			No	Yes	No	No	No	Yes
FES	1	No			No	No	No	No	No	Yes
FGF3	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
FGF4	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
FGF6	2	No			Yes	Yes	No	No	No	No
FGF10	2	No			Yes	Yes	No	No	No	No
FGF14	2	No			Yes	Yes	No	No	No	No
FGFR1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
FGFR3	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
FGFR2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
FGFR4	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
FH	4	Yes		Yes	Yes	No	Yes	No	No	Yes
FHIT	2	No			No	Yes	No	No	No	Yes
FOXO1	5	Yes			No	Yes	Yes	Yes	No	Yes
FOXO3	2	No			No	Yes	No	No	No	Yes
FLI1	2	No			No	Yes	No	No	No	Yes
FLT1	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
FLT3	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
FLT4	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
MTOR	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
FUS	2	No			No	Yes	No	No	No	Yes
KDSR	2	No			No	Yes	No	No	No	Yes
FYN	3	Yes			No	No	Yes	Yes	No	No
GABRA6	1	No			Yes	No	No	No	No	No
GATA1	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
GATA2	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
GATA3	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
GATA4	1	No			Yes	No	No	No	No	No
GATA6	1	No			Yes	No	No	No	No	No
GPC3	1	No			No	No	No	No	No	Yes
GLI1	4	Yes	Yes		Yes	Yes	Yes	No	No	No
GNA11	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
GNA12	2	No			No	Yes	No	Yes	No	No
GNAQ	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
GNAS	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
GNB1	1	No			No	No	No	Yes	No	No
GPS2	2	Yes			No	No	Yes	No	No	No
GRIN2A	6	Yes			Yes	Yes	Yes	Yes	No	Yes
GRM3	1	No			Yes	No	No	No	No	No
GSK3B	5	Yes			Yes	Yes	Yes	Yes	No	No
MSH6	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
GTF2I	1	No			No	No	No	Yes	No	No
HIST1H1C	4	Yes			No	Yes	Yes	Yes	No	No
HIST1H1D	2	No			No	Yes	No	Yes	No	No
HIST1H1E	2	No			No	Yes	No	Yes	No	No
HIST1H1B	1	No			No	No	No	Yes	No	No
HIST1H2BD	3	Yes			No	No	Yes	Yes	No	No
H3F3A	5	Yes			Yes	No	Yes	No	Yes	Yes
H3F3B	3	Yes			No	No	Yes	No	No	Yes
HDAC1	2	No			No	Yes	No	Yes	No	No
HGF	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
NRG1	1	No			No	No	No	No	No	Yes
HIF1A	2	No			No	No	No	Yes	No	Yes
HIP1	2	No			No	Yes	No	No	No	Yes
HLA-A	4	Yes		Yes	No	No	Yes	Yes	No	Yes
HLA-B	2	Yes		Yes	No	No	Yes	No	No	No
MNX1	2	No			No	Yes	No	No	No	Yes
HLF	2	No			No	Yes	No	No	No	Yes
HMGA1	2	No			No	Yes	No	No	No	Yes
FOXA1	3	Yes	Yes		No	No	Yes	No	No	Yes
HNRNPA2B1	1	No			No	No	No	No	No	Yes
TLX1	2	No			No	Yes	No	No	No	Yes
HOXA3	1	No			No	Yes	No	No	No	No
HOXA9	2	No			No	Yes	No	No	No	Yes
HOXA11	2	No			No	Yes	No	No	No	Yes
HOXA13	2	No			No	Yes	No	No	No	Yes
HOXC11	2	No			No	Yes	No	No	No	Yes
HOXC13	2	No			No	Yes	No	No	No	Yes
HOXD11	2	No			No	Yes	No	No	No	Yes
HOXD13	2	No			No	Yes	No	No	No	Yes
HRAS	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
HSD3B1	1	No			Yes	No	No	No	No	No
HSP90AA1	3	No			Yes	Yes	No	No	No	Yes
HSP90AB1	2	No			No	Yes	No	No	No	Yes
DNAJB1	3	Yes			No	No	Yes	No	No	Yes
IRF8	2	No			No	Yes	No	Yes	No	No
ID3	4	Yes			No	Yes	Yes	Yes	No	No
IDH1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
IDH2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
IFNGR1	2	Yes			No	No	Yes	No	No	No
IGF1	3	Yes	Yes		No	No	Yes	Yes	No	No
IGF1R	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
IGF2	4	Yes	Yes		Yes	No	Yes	Yes	No	No
IGH	2	No			No	Yes	No	No	No	Yes
IGL	2	No			No	Yes	No	No	No	Yes
IKBKB	1	No			No	No	No	No	No	Yes
IL2	1	No			No	No	No	No	No	Yes
IL3	1	No			No	Yes	No	No	No	No
IL6ST	1	No			No	No	No	No	No	Yes
IL7R	6	Yes			Yes	Yes	Yes	Yes	No	Yes
IL10	2	Yes			No	No	Yes	No	No	No
INHA	2	Yes			No	No	Yes	No	No	No
INHBA	4	Yes			Yes	Yes	Yes	No	No	No
INPP4A	2	Yes			No	No	Yes	No	No	No
INPP5D	1	No			No	Yes	No	No	No	No
INPPL1	2	Yes			No	No	Yes	No	No	No
INSR	2	Yes			No	No	Yes	No	No	No
EIF3E	1	No			No	No	No	No	No	Yes
IRF1	2	No			No	Yes	No	Yes	No	No
IRF2	1	No			Yes	No	No	No	No	No
IRF4	6	Yes			Yes	Yes	Yes	Yes	No	Yes
IRS1	2	Yes			No	No	Yes	No	No	No
ITK	2	No			No	Yes	No	No	No	Yes
JAK1	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
JAK2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
JAK3	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
JARID2	2	No			No	Yes	No	Yes	No	No
JUN	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
KCNJ5	1	No			No	No	No	No	No	Yes
KDR	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
KEL	1	No			Yes	No	No	No	No	No
KIF5B	2	No			No	Yes	No	No	No	Yes
KIT	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
KLK2	1	No			No	No	No	No	No	Yes
KRAS	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
KTN1	1	No			No	No	No	No	No	Yes
AFF3	1	No			No	No	No	No	No	Yes
LASP1	2	No			No	Yes	No	No	No	Yes
LCK	2	No			No	No	No	Yes	No	Yes
LCP1	2	No			No	Yes	No	No	No	Yes
LIFR	1	No			No	No	No	No	No	Yes
LMNA	1	No			No	No	No	No	No	Yes
LMO1	6	Yes			Yes	Yes	Yes	Yes	No	Yes
LMO2	2	No			No	Yes	No	No	No	Yes
LPP	2	No			No	Yes	No	No	No	Yes
LTB	1	No			No	No	No	Yes	No	No
LYL1	2	No			No	Yes	No	No	No	Yes
LYN	3	Yes			Yes	No	Yes	No	No	No
SH2D1A	2	Yes			No	No	Yes	No	No	No
EPCAM	2	Yes			No	No	Yes	No	No	No
SMAD2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
SMAD3	4	Yes		Yes	Yes	No	Yes	No	No	Yes
SMAD4	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
MAF	2	No			No	Yes	No	No	No	Yes
MAX	3	Yes			No	No	Yes	No	No	Yes
MCL1	5	Yes			Yes	Yes	Yes	Yes	No	No
MDM2	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
MDM4	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
MEF2BNB-MEF2B	1	Yes			No	No	No	No	No	No
MEF2C	1	No			No	Yes	No	No	No	No
MAP3K1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
MEN1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
MET	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
CIITA	3	No			No	Yes	No	Yes	No	Yes
MITF	6	Yes			Yes	Yes	Yes	Yes	No	Yes
MKI67	1	No			No	Yes	No	No	No	No
MLF1	2	No			No	Yes	No	No	No	Yes
MLH1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
KMT2A	6	Yes		Yes	Yes	Yes	Yes	Yes	No	Yes
MLLT1	2	No			No	Yes	No	No	No	Yes
AFF1	2	No			No	Yes	No	No	No	Yes
MLLT3	2	No			No	Yes	No	No	No	Yes
MLLT4	2	No			No	Yes	No	No	No	Yes
MLLT6	2	No			No	Yes	No	No	No	Yes
FOXO4	2	No			No	Yes	No	No	No	Yes
MN1	2	No			No	Yes	No	No	No	Yes
MPL	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
MRE11A	5	Yes			Yes	Yes	Yes	Yes	No	No
MSH2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
MSH3	3	Yes			No	Yes	Yes	No	No	No
MSI1	2	Yes			No	No	Yes	No	No	No
MSN	2	No			No	Yes	No	No	No	Yes
MST1	2	Yes			No	No	Yes	No	No	No
MST1R	2	Yes			No	No	Yes	No	No	No
MTCP1	1	No			No	No	No	No	No	Yes
MUC1	2	No			No	Yes	No	No	No	Yes
MUTYH	6	Yes			Yes	Yes	Yes	Yes	No	Yes
MYB	3	No			Yes	Yes	No	No	No	Yes
MYC	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
MYCL	6	Yes			Yes	Yes	Yes	Yes	No	Yes
MYCN	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
MYD88	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
GADD45B	1	No			No	Yes	No	No	No	No
MYH9	2	No			No	Yes	No	No	No	Yes
MYH11	2	No			No	Yes	No	No	No	Yes
MYO5A	1	No			No	No	No	No	No	Yes
MYOD1	3	Yes			No	No	Yes	No	No	Yes
NAB2	1	No			No	No	No	No	No	Yes
NACA	2	No			No	Yes	No	No	No	Yes
NBN	4	Yes			No	No	Yes	Yes	No	Yes
NF1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
NF2	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
NFATC2	1	No			No	No	No	No	No	Yes
NFE2	1	No			No	No	No	Yes	No	No
NFE2L2	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
NFIB	1	No			No	No	No	No	No	Yes
NFKB2	2	No			No	Yes	No	No	No	Yes
NFKBIA	4	Yes	Yes		Yes	Yes	Yes	No	No	No
NFKBIE	1	No			No	No	No	No	No	Yes
NKX3-1	2	Yes			No	No	Yes	No	No	No
NONO	1	No			No	No	No	No	No	Yes
CNOT3	1	No			No	No	No	No	No	Yes
NOTCH1	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
NOTCH3	4	Yes			Yes	No	Yes	Yes	No	No
NOTCH4	3	Yes			No	No	Yes	Yes	No	No
NPM1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
NRAS	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
NTHL1	2	Yes			No	No	Yes	No	No	No
NTRK1	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
NTRK2	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
NTRK3	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
DDR2	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
NUMA1	2	No			No	Yes	No	No	No	Yes
NUP98	2	No			No	Yes	No	No	No	Yes
OMD	2	No			No	Yes	No	No	No	Yes
FURIN	1	No			No	No	No	Yes	No	No
PAFAH1B2	2	No			No	Yes	No	No	No	Yes
PAK1	2	Yes			No	No	Yes	No	No	No
PAK3	2	No			Yes	Yes	No	No	No	No
PARK2	3	Yes			Yes	No	Yes	No	No	No
PAX3	2	No			No	Yes	No	No	No	Yes
PAX5	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
PAX7	2	No			No	Yes	No	No	No	Yes
PBX1	2	No			No	Yes	No	No	No	Yes
PC	1	No			No	Yes	No	No	No	No
PCBP1	2	No			No	Yes	No	Yes	No	No
PCM1	2	No			No	Yes	No	No	No	Yes
PDCD1	4	Yes			No	Yes	Yes	Yes	No	No
PDGFB	2	No			No	Yes	No	No	No	Yes
PDGFRA	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
PDGFRB	6	Yes	Yes		Yes	Yes	Yes	Yes	No	Yes
PDK1	2	No			Yes	Yes	No	No	No	No
PDPK1	3	Yes			No	No	Yes	Yes	No	No
PER1	2	No			No	Yes	No	No	No	Yes
PGR	2	Yes			No	No	Yes	No	No	No
PHF1	1	No			No	Yes	No	No	No	No
PIGA	1	No			No	No	No	Yes	No	No
PIK3C2B	1	No			Yes	No	No	No	No	No
PIK3C2G	3	Yes			No	No	Yes	Yes	No	No
PIK3C3	3	Yes	Yes		No	No	Yes	Yes	No	No
PIK3CA	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
PIK3CB	3	Yes	Yes		Yes	No	Yes	No	No	No
PIM1	5	Yes			No	Yes	Yes	Yes	No	Yes
PIK3CD	2	Yes	Yes		No	No	Yes	No	No	No
PIK3CG	5	Yes	Yes		Yes	Yes	Yes	Yes	No	No
PIK3R1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
PIK3R2	5	Yes			Yes	Yes	Yes	Yes	No	No
PLAG1	2	No			No	Yes	No	No	No	Yes
PLCG1	2	No			No	No	No	Yes	No	Yes
PLCG2	5	Yes			Yes	Yes	Yes	Yes	No	No
PMAIP1	2	Yes			No	No	Yes	No	No	No
PML	2	No			No	Yes	No	No	No	Yes
PMS1	3	Yes			No	No	Yes	No	No	Yes
PMS2	5	Yes			Yes	No	Yes	Yes	No	Yes
PRRX1	2	No			No	Yes	No	No	No	Yes
SEPT5	2	No			No	Yes	No	No	No	Yes
POLD1	3	Yes		Yes	Yes	No	Yes	No	No	No
POLE	4	Yes		Yes	Yes	No	Yes	No	No	Yes
POU2AF1	2	No			No	Yes	No	No	No	Yes
POU5F1	1	No			No	No	No	No	No	Yes
PPARG	3	Yes			No	No	Yes	No	No	Yes
PPP1CB	1	No			No	Yes	No	No	No	No
PPP2R1A	7	Yes			Yes	Yes	Yes	Yes	Yes	Yes
PPP6C	3	Yes	Yes		No	No	Yes	No	No	Yes
PRCC	1	No			No	No	No	No	No	Yes
PRF1	1	No			No	No	No	No	No	Yes
PRKACA	1	No			No	No	No	No	No	Yes
PRKAR1A	6	Yes			Yes	Yes	Yes	Yes	No	Yes
PRKCI	3	Yes	Yes		Yes	No	Yes	No	No	No
PRKD1	2	Yes			No	No	Yes	No	No	No
PRKDC	2	No			Yes	Yes	No	No	No	No
MAPK1	5	Yes	Yes		No	Yes	Yes	Yes	No	Yes
MAPK3	3	Yes			No	No	Yes	Yes	No	No
MAP2K1	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
MAP2K2	6	Yes			Yes	Yes	Yes	Yes	No	Yes
PRSS1	1	Yes			No	No	No	No	No	No
RELN	1	No			No	Yes	No	No	No	No
PRSS8	2	No			Yes	Yes	No	No	No	No
PTCH1	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTEN	7	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes
PTK6	1	No			No	No	No	No	No	Yes
PTK7	1	No			No	Yes	No	No	No	No
PTPN1	1	No			No	No	No	Yes	No	No
PTPN2	2	No			No	Yes	No	Yes	No	No
PTPN6	1	No			No	Yes	No	No	No	No
PTPN11	7	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes
PTPN13	1	No			No	No	No	No	No	Yes
PTPRB	1	No			No	No	No	No	No	Yes
PTPRC	1	No			No	No	No	No	No	Yes
PTPRD	2	Yes			No	No	Yes	No	No	No
PTPRK	1	No			No	No	No	No	No	Yes
PTPRO	1	No			No	Yes	No	No	No	No
PTPRS	2	Yes			No	No	Yes	No	No	No
RAC1	4	Yes	Yes		Yes	No	Yes	No	No	Yes
RAC2	2	Yes			No	No	Yes	No	No	No
